,SummonerName,MatchName,Kills,KillDiff,Deaths,DeathDiff,Assists,AssistDiff,CS,CSDiff,Gold,GoldDiff,Win,Champion,OppChamp,GameTime,CSPerMin
0,V1PER,OGA-vs-TLA,1.0,-4.0,4.0,1.0,5.0,5.0,197.0,-58.0,"10,000",-1700.0,1.0,Gnar,Irelia,28.55,6.900175131348512
1,Brandini,FQA-vs-TSMA,4.0,3.0,3.0,1.0,6.0,-2.0,410.0,61.0,18700,2300.0,0.0,Vladimir,Gnar,43.46,9.433962264150944
2,V1PER,TLA-vs-TSMA,5.0,1.0,1.0,-3.0,8.0,0.0,408.0,-34.0,19500,0.0,1.0,Riven,Gangplank,40.01,10.197450637340665
3,Brandini,TLA-vs-TSMA,4.0,-1.0,4.0,3.0,8.0,0.0,442.0,34.0,19500,0.0,0.0,Gangplank,Riven,40.01,11.047238190452388
4,Brandini,EFA-vs-TSMA,0.0,-3.0,2.0,2.0,1.0,-3.0,373.0,72.0,15900,1500.0,0.0,Vladimir,Sion,39.24,9.505606523955148
5,V1PER,TLA-vs-CGA,2.0,-3.0,3.0,0.0,1.0,-3.0,347.0,116.0,12600,-300.0,0.0,Riven,Camille,31.39,11.054475947754062
6,Brandini,TSMA-vs-OGA,3.0,1.0,2.0,-2.0,3.0,2.0,267.0,-41.0,13500,1100.0,1.0,Cho'Gath,Trundle,35.44,7.533860045146727
7,V1PER,TLA-vs-100TA,3.0,2.0,0.0,-2.0,5.0,5.0,243.0,33.0,11300,3200.0,1.0,Yasuo,Gnar,25.24,9.62757527733756
8,Brandini,TSMA-vs-100TA,1.0,-2.0,1.0,-2.0,9.0,9.0,337.0,68.0,16400,5400.0,1.0,Gangplank,Gnar,30.44,11.070959264126149
9,V1PER,GGSA-vs-TLA,1.0,1.0,0.0,-3.0,6.0,3.0,165.0,-1.0,7700,1200.0,1.0,Camille,Gnar,20.06,8.225324027916251
10,V1PER,FQA-vs-TLA,5.0,5.0,4.0,3.0,7.0,1.0,452.0,1.0,20000,600.0,1.0,Riven,Gnar,46.04,9.817549956559514
11,Brandini,TSMA-vs-GGSA,2.0,2.0,0.0,-2.0,5.0,5.0,294.0,27.0,14300,3900.0,1.0,Gangplank,Kled,32.08,9.164588528678305
12,Brandini,TSMA-vs-CLGA,1.0,-2.0,4.0,3.0,1.0,-8.0,345.0,-34.0,13700,-6100.0,0.0,Gnar,Gangplank,40.26,8.569299552906111
13,V1PER,EFA-vs-TLA,0.0,0.0,3.0,-1.0,5.0,1.0,274.0,-27.0,13100,1100.0,1.0,Camille,Poppy,34.29,7.990667833187518
14,V1PER,C9A-vs-TLA,2.0,-1.0,3.0,2.0,0.0,-5.0,175.0,-13.0,7900,-2200.0,0.0,Camille,Akali,24.46,7.1545380212591985
15,Brandini,TSMA-vs-CGA,1.0,1.0,4.0,1.0,9.0,-2.0,373.0,-134.0,22400,-1600.0,1.0,Maokai,Gnar,73.3,5.088676671214189
16,Brandini,CGA-vs-TSMA,0.0,-2.0,3.0,0.0,14.0,9.0,299.0,-151.0,16700,-2800.0,1.0,Maokai,Gnar,52.08,5.741167434715822
17,V1PER,TLA-vs-GGSA,1.0,-3.0,3.0,1.0,6.0,3.0,339.0,53.0,16800,4400.0,1.0,Gangplank,Gnar,32.56,10.411547911547911
18,Brandini,C9A-vs-TSMA,4.0,1.0,4.0,1.0,2.0,0.0,336.0,35.0,15600,2100.0,1.0,Jax,Camille,35.47,9.472793910346772
19,V1PER,TLA-vs-CLGA,3.0,-1.0,2.0,-1.0,2.0,-4.0,376.0,58.0,17000,600.0,0.0,Lucian,Gangplank,38.12,9.863588667366212
20,Brandini,OGA-vs-TSMA,2.0,1.0,2.0,0.0,3.0,-3.0,248.0,-39.0,10200,-3200.0,0.0,Sion,Gnar,31.0,8.0
